PR Number,Author,Labels,PR Link
1454,ojsrb,submission,https://github.com/hackclub/OnBoard/pull/1454
1452,AlexMtzEM,submission,https://github.com/hackclub/OnBoard/pull/1452
1451,arjav0703,submission,https://github.com/hackclub/OnBoard/pull/1451
1450,jay-lchicken,submission,https://github.com/hackclub/OnBoard/pull/1450
1447,Ffive44-1,submission,https://github.com/hackclub/OnBoard/pull/1447
1445,lukasn9,submission,https://github.com/hackclub/OnBoard/pull/1445
1442,domokosdcs0,submission,https://github.com/hackclub/OnBoard/pull/1442
1441,AlexMtzEM,submission,https://github.com/hackclub/OnBoard/pull/1441
1440,ideuraf,submission,https://github.com/hackclub/OnBoard/pull/1440
1439,im-udxt,submission,https://github.com/hackclub/OnBoard/pull/1439
1438,Malhar-Palshikar,submission,https://github.com/hackclub/OnBoard/pull/1438
1437,DhruvJerald,submission,https://github.com/hackclub/OnBoard/pull/1437
1436,YeetTheAnson,submission,https://github.com/hackclub/OnBoard/pull/1436
1435,romalescarl18,submission,https://github.com/hackclub/OnBoard/pull/1435
1434,Easternspork,submission,https://github.com/hackclub/OnBoard/pull/1434
1433,jameson-pi,submission,https://github.com/hackclub/OnBoard/pull/1433
1432,HonkaDonka,submission,https://github.com/hackclub/OnBoard/pull/1432
1431,safvanrahman,submission,https://github.com/hackclub/OnBoard/pull/1431
1430,codingkatty,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1430
1429,SonyaCode,submission,https://github.com/hackclub/OnBoard/pull/1429
1428,TheTwoBoom,"submission, hacky holidays",https://github.com/hackclub/OnBoard/pull/1428
1427,didoub74-off,submission,https://github.com/hackclub/OnBoard/pull/1427
1424,Swarsin,submission,https://github.com/hackclub/OnBoard/pull/1424
1422,Omarsy-d,submission,https://github.com/hackclub/OnBoard/pull/1422
1421,kunalk537,submission,https://github.com/hackclub/OnBoard/pull/1421
1418,AdamEXu,submission,https://github.com/hackclub/OnBoard/pull/1418
1417,Mik1-1,submission,https://github.com/hackclub/OnBoard/pull/1417
1415,MithilSaiReddy,submission,https://github.com/hackclub/OnBoard/pull/1415
1414,KiaKia86,submission,https://github.com/hackclub/OnBoard/pull/1414
